CS-6601,B,2017-1,85
CS-6601,B,2017-2,45
CS-6601,C,2016-1,0
CS-6601,C,2016-3,9
CS-6601,C,2017-1,22
CS-6601,C,2017-2,15
CS-6601,D,2016-1,4
CS-6601,D,2016-3,0
CS-6601,D,2017-1,9
CS-6601,D,2017-2,6
CS-6601,F,2016-1,0
CS-6601,F,2016-3,7
CS-6601,F,2017-1,8
CS-6601,F,2017-2,0
CS-6601,W,2016-1,54
CS-6601,W,2016-3,94
CS-6601,W,2017-1,128
CS-6601,W,2017-2,71
CS-6750,A,2016-3,60
CS-6750,A,2017-1,185
CS-6750,A,2017-2,152
CS-6750,B,2016-3,19
CS-6750,B,2017-1,37
CS-6750,B,2017-2,27
CS-6750,C,2016-3,3
CS-6750,C,2017-1,4
CS-6750,C,2017-2,1
CS-6750,D,2016-3,0
CS-6750,D,2017-1,2
CS-6750,D,2017-2,2
CS-6750,F,2016-3,1
CS-6750,F,2017-1,1
CS-6750,F,2017-2,1
CS-6750,W,2016-3,6
CS-6750,W,2017-1,23
CS-6750,W,2017-2,24
CS-7637,A,2014-3,138
CS-7637,A,2015-1,165
CS-7637,A,2015-2,215
CS-7637,A,2015-3,145
CS-7637,A,2016-1,170
CS-7637,A,2016-2,200
CS-7637,A,2016-3,206
CS-7637,A,2017-1,108
CS-7637,B,2014-3,25
CS-7637,B,2015-1,33
CS-7637,B,2015-2,51
CS-7637,B,2015-3,22
CS-7637,B,2016-1,42
CS-7637,B,2016-2,78
CS-7637,B,2016-3,48
CS-7637,B,2017-1,23
CS-7637,C,2014-3,4
CS-7637,C,2015-1,9
CS-7637,C,2015-2,6
CS-7637,C,2015-3,9
CS-7637,C,2016-1,13
CS-7637,C,2016-2,7
CS-7637,C,2016-3,7
CS-7637,C,2017-1,2
CS-7637,D,2014-3,0
CS-7637,D,2015-1,2
CS-7637,D,2015-2,3
CS-7637,D,2015-3,3
CS-7637,D,2016-1,3
CS-7637,D,2016-2,5
CS-7637,D,2016-3,4
CS-7637,D,2017-1,1
CS-7637,F,2014-3,3
CS-7637,F,2015-1,3
CS-7637,F,2015-2,12
CS-7637,F,2015-3,4
CS-7637,F,2016-1,10
CS-7637,F,2016-2,7
CS-7637,F,2016-3,14
CS-7637,F,2017-1,10
CS-7637,W,2014-3,26
CS-7637,W,2015-1,55
CS-7637,W,2015-2,83
CS-7637,W,2015-3,49
CS-7637,W,2016-1,64
CS-7637,W,2016-2,73
CS-7637,W,2016-3,70
CS-7637,W,2017-1,53
CS-7641,A,2014-1,58
CS-7641,A,2014-3,84
CS-7641,A,2015-1,124
CS-7641,A,2015-3,143
CS-7641,A,2016-1,147
CS-7641,A,2016-3,150
CS-7641,A,2017-1,192
CS-7641,B,2014-1,25
CS-7641,B,2014-3,48
CS-7641,B,2015-1,38
CS-7641,B,2015-3,47
CS-7641,B,2016-1,54
CS-7641,B,2016-3,60
CS-7641,B,2017-1,94
CS-7641,C,2014-1,2
CS-7641,C,2014-3,4
CS-7641,C,2015-1,9
CS-7641,C,2015-3,5
CS-7641,C,2016-1,15
CS-7641,C,2016-3,17
CS-7641,C,2017-1,4
CS-7641,D,2014-1,3
CS-7641,D,2014-3,12
CS-7641,D,2015-1,6
CS-7641,D,2015-3,6
CS-7641,D,2016-1,4
CS-7641,D,2016-3,2
CS-7641,D,2017-1,2
CS-7641,F,2014-1,1
CS-7641,F,2014-3,4
CS-7641,F,2015-1,1
CS-7641,F,2015-3,5
CS-7641,F,2016-1,2
CS-7641,F,2016-3,3
CS-7641,F,2017-1,6
CS-7641,W,2014-1,64
CS-7641,W,2014-3,97
CS-7641,W,2015-1,126
CS-7641,W,2015-3,153
CS-7641,W,2016-1,136
CS-7641,W,2016-3,161
CS-7641,W,2017-1,178
CS-7646,A,2015-3,293
CS-7646,A,2016-1,221
CS-7646,A,2016-3,181
CS-7646,A,2017-1,281
CS-7646,A,2017-2,98
CS-7646,B,2015-3,46
CS-7646,B,2016-1,80
CS-7646,B,2016-3,42
CS-7646,B,2017-1,104
CS-7646,B,2017-2,41
CS-7646,C,2015-3,11
CS-7646,C,2016-1,20
CS-7646,C,2016-3,20
CS-7646,C,2017-1,39
CS-7646,C,2017-2,10
CS-7646,D,2015-3,4
CS-7646,D,2016-1,5
CS-7646,D,2016-3,4
CS-7646,D,2017-1,16
CS-7646,D,2017-2,1
CS-7646,F,2015-3,12
CS-7646,F,2016-1,9
CS-7646,F,2016-3,8
CS-7646,F,2017-1,15
CS-7646,F,2017-2,3
CS-7646,W,2015-3,18
CS-7646,W,2016-1,40
CS-7646,W,2016-3,44
CS-7646,W,2017-1,83
CS-7646,W,2017-2,43
CS-8802,A,2014-1,41
CS-8802,B,2014-1,4
CS-8802,C,2014-1,1
CS-8802,D,2014-1,6
CS-8802,F,2014-1,5
CS-8802,W,2014-1,14
CS-8803,A,2014-2,78
CS-8803,A,2014-3,43
CS-8803,A,2015-1,134
CS-8803,A,2015-2,151
CS-8803,A,2015-3,134
CS-8803,A,2016-1,74
CS-8803,A,2016-2,73
CS-8803,A,2016-3,74
CS-8803,A,2017-1,93
CS-8803,A,2017-2,92
CS-8803,B,2014-2,16
CS-8803,B,2014-3,7
CS-8803,B,2015-1,21
CS-8803,B,2015-2,15
CS-8803,B,2015-3,14
CS-8803,B,2016-1,54
CS-8803,B,2016-2,85
CS-8803,B,2016-3,21
CS-8803,B,2017-1,39
CS-8803,B,2017-2,53
CS-8803,C,2014-2,3
CS-8803,C,2014-3,0
CS-8803,C,2015-1,3
CS-8803,C,2015-2,4
CS-8803,C,2015-3,4
CS-8803,C,2016-1,13
CS-8803,C,2016-2,35
CS-8803,C,2016-3,6
CS-8803,C,2017-1,10
CS-8803,C,2017-2,7
CS-8803,D,2014-2,2
CS-8803,D,2014-3,2
CS-8803,D,2015-1,3
CS-8803,D,2015-2,0
CS-8803,D,2015-3,1
CS-8803,D,2016-1,6
CS-8803,D,2016-2,3
CS-8803,D,2016-3,1
CS-8803,D,2017-1,4
CS-8803,D,2017-2,5
CS-8803,F,2014-2,6
CS-8803,F,2014-3,3
CS-8803,F,2015-1,6
CS-8803,F,2015-2,2
CS-8803,F,2015-3,2
CS-8803,F,2016-1,5
CS-8803,F,2016-2,2
CS-8803,F,2016-3,0
CS-8803,F,2017-1,1
CS-8803,F,2017-2,6
CS-8803,W,2014-2,4
CS-8803,W,2014-3,8
CS-8803,W,2015-1,26
CS-8803,W,2015-2,10
CS-8803,W,2015-3,6
CS-8803,W,2016-1,7
CS-8803,W,2016-2,28
CS-8803,W,2016-3,17
CS-8803,W,2017-1,40
CS-8803,W,2017-2,40
CS-8903,A,2014-1,0
CS-8903,B,2014-1,0
CS-8903,C,2014-1,0
CS-8903,D,2014-1,0
CS-8903,F,2014-1,0
CS-8903,W,2014-1,0
CSE-6220,A,2015-3,19
CSE-6220,A,2016-1,17
CSE-6220,A,2016-3,18
CSE-6220,A,2017-1,19
CSE-6220,B,2015-3,24
CSE-6220,B,2016-1,16
CSE-6220,B,2016-3,9
CSE-6220,B,2017-1,6
CSE-6220,C,2015-3,10
CSE-6220,C,2016-1,1
CSE-6220,C,2016-3,3
CSE-6220,C,2017-1,4
CSE-6220,D,2015-3,4
CSE-6220,D,2016-1,0
CSE-6220,D,2016-3,0
CSE-6220,D,2017-1,0
CSE-6220,F,2015-3,2
CSE-6220,F,2016-1,2
CSE-6220,F,2016-3,1
CSE-6220,F,2017-1,0
CSE-6220,W,2015-3,71
CSE-6220,W,2016-1,35
CSE-6220,W,2016-3,29
CSE-6220,W,2017-1,34
CSE-6242,A,2016-3,161
CSE-6242,A,2017-1,284
CSE-6242,B,2016-3,87
CSE-6242,B,2017-1,101
CSE-6242,C,2016-3,17
CSE-6242,C,2017-1,20
CSE-6242,D,2016-3,9
CSE-6242,D,2017-1,4
CSE-6242,F,2016-3,13
CSE-6242,F,2017-1,15
CSE-6242,W,2016-3,36
CSE-6242,W,2017-1,66
CSE-6250,A,2017-1,51
CSE-6250,B,2017-1,3
CSE-6250,C,2017-1,4
CSE-6250,D,2017-1,0
CSE-6250,F,2017-1,0
CSE-6250,W,2017-1,28
CSE-8803,A,2016-1,73
CSE-8803,A,2016-3,26
CSE-8803,B,2016-1,17
CSE-8803,B,2016-3,11
CSE-8803,C,2016-1,8
CSE-8803,C,2016-3,0
CSE-8803,D,2016-1,2
CSE-8803,D,2016-3,1
CSE-8803,F,2016-1,4
CSE-8803,F,2016-3,1
CSE-8803,W,2016-1,64
CSE-8803,W,2016-3,18
